,model,scientificName,height,x_meters,y_meters
186,Browning,Axis axis,7.1,-1.058566614,0.05964519
187,Browning,Axis axis,7.1,0.333173482,-0.021549818
188,Browning,Macaca mulatta,7.1,0.297838114,-1.699144087
189,Browning,Panthera tigris,7.1,1.773795639,0.045458152
190,Browning,Panthera tigris,7.5,2.469557544,-0.179336917
191,Browning,Muntiacus muntjak,7.5,-2.557844777,0.562186815
192,Browning,Rusa unicolor,7.5,0.956463557,-0.163657186
193,Browning,Muntiacus muntjak,7.5,2.399084632,-0.42862392
194,Browning,Axis axis,7.08,-1.201364821,-0.361848116
195,Browning,Semnopithecus schistaceus,7.08,-1.201364821,-0.361848116
196,Browning,Axis porcinus,7.08,-1.300633005,-0.446000448
197,Browning,Axis axis,7.08,1.655947564,-0.227286861
198,Browning,Sus scrofa,7.08,-1.546774048,-1.072195647
199,Browning,Sus scrofa,7.08,-1.095323249,0.215549254
200,Browning,Elephas maximus,7.5,0.101510575,-1.153706726
201,Browning,Rhinoceros unicornis,7.5,-2.516596735,-1.794349152
202,Browning,Rhinoceros unicornis,7.5,1.991325766,-0.539904248
203,Browning,Elephas maximus,7.5,-3.237861659,-0.76733871
204,Browning,Sus scrofa,7.5,1.254378435,-0.147977456
205,Browning,Elephas maximus,7.5,-1.920892417,0.735882259
206,Browning,Rhinoceros unicornis,7.5,-2.518906784,-0.427212401
207,Browning,Macaca mulatta,7.8,-0.518822064,0.329568886
208,Browning,Panthera tigris,7.8,1.809716413,0.002957704
209,Browning,Sus scrofa,7.8,2.82925056,1.484948871
210,Browning,Panthera tigris,7.8,2.192899706,0.373495526
211,Browning,Semnopithecus schistaceus,7.8,1.313926637,-0.692649094
212,Browning,Semnopithecus schistaceus,7.8,0.617351013,-0.309507761
213,Browning,Panthera tigris,7.8,2.674561997,-0.224064262
214,Browning,Sus scrofa,7.8,1.174098215,0.10701416
215,Browning,Axis axis,7.35,2.701647992,0.054190285
216,Browning,Semnopithecus schistaceus,7.35,-0.492647173,-1.63836203
217,Browning,Axis porcinus,7.35,0.354070946,-0.267020937
218,Browning,Axis porcinus,7.35,-1.584872664,0.120044097
219,Browning,Axis porcinus,7.35,0.295391401,-0.035949301
220,Browning,Muntiacus muntjak,7.35,-1.797837892,-0.75966334
221,Browning,Axis porcinus,7.35,-1.149407717,-0.053824645
222,Browning,Axis porcinus,7.35,0.856870504,0.726783298
223,Browning,Axis porcinus,7.35,-1.543300586,-0.075194418
224,Browning,Muntiacus muntjak,7.35,-0.560863958,0.12388947
225,Browning,Axis axis,7.35,-0.560863958,0.12388947
226,Browning,Sus scrofa,7.35,-0.035425038,-0.266734871
227,Browning,Axis axis,7.35,-3.678834362,-0.613636168
228,Browning,Axis axis,7.35,-1.906457756,0.106966392
229,Browning,Macaca mulatta,7.35,-3.309230527,0.317576445
230,Browning,Axis porcinus,7.35,-0.586153632,0.188732823
231,Browning,Axis porcinus,7.35,1.12431782,0.203551865
232,Browning,Sus scrofa,7.35,-0.875869742,-1.243696619
233,Browning,Sus scrofa,7.35,1.375269157,0.415846051
234,Browning,Axis axis,7.35,0.761901909,-0.589807531
235,Browning,Axis axis,7.35,1.419687312,1.771426468
236,Browning,Sus scrofa,7.35,1.406001428,-1.051619921
237,Browning,Axis axis,7.35,0.478910525,-0.220530765
238,Browning,Axis axis,7.35,-1.446785461,-0.791762165
239,Browning,Axis axis,7.35,1.019951068,-0.23114096
240,Browning,Axis axis,7.35,1.021510845,-0.176665403
241,Browning,Axis axis,7.35,-2.069030729,1.613107669
242,Browning,Axis axis,7.35,1.023715436,0.789098497
243,Browning,Sus scrofa,7.35,1.105200632,0.280481613
244,Browning,Rhinoceros unicornis,7.35,-0.361104192,-0.775029476
245,Browning,Panthera tigris,7.35,-0.270945623,0.461196807
246,Browning,Muntiacus muntjak,7.35,0.968066557,-0.529171303
247,Browning,Rhinoceros unicornis,7.35,-1.29519878,0.186159666
248,Browning,Axis porcinus,7.35,0.749355878,-0.11647453
249,Browning,Muntiacus muntjak,7.35,1.929234504,0.388370047
250,Browning,Axis porcinus,7.35,-0.846155453,-0.662129577
251,Browning,Rhinoceros unicornis,7.35,-0.391836464,0.193037081
252,Browning,Muntiacus muntjak,7.35,-0.950440423,-0.075248132
253,Browning,Muntiacus muntjak,7.35,0.760698103,1.394360004
254,Browning,Muntiacus muntjak,7.35,-1.029531101,0.246818557
255,Browning,Macaca mulatta,7,-0.537336058,0.362413184
256,Browning,Semnopithecus schistaceus,7,-1.16655568,-0.903235393
257,Browning,Sus scrofa,7,-3.168350864,0.000914651
258,Browning,Sus scrofa,7,0.073172075,1.061909744
259,Browning,Rusa unicolor,7,-3.826899542,-0.650120911
260,Browning,Muntiacus muntjak,7,0.841478867,-0.364945726
261,Browning,Axis axis,7.4,1.651060271,-1.498358427
262,Browning,Axis axis,7.4,2.022856829,0.124705008
263,Browning,Axis axis,7.4,-0.217523006,0.248203507
264,Browning,Axis axis,7.4,-0.602714795,-1.358639689
265,Browning,Semnopithecus schistaceus,7.2,-0.067075046,1.422898614
266,Browning,Semnopithecus schistaceus,7.2,-0.614747479,-0.051093569
267,Browning,Semnopithecus schistaceus,7.2,-3.262696912,-1.334025707
268,Browning,Macaca mulatta,7.2,-2.846642874,-0.662543294
269,Browning,Axis axis,7.2,-0.63733118,-0.193771159
