"","model","scientificName","height","major_axis_mod","minor_axis","profile","profile_se"
"762","Browning","Hystrix indica",8.1,2.02612625509408,0.745529465878219,3.52898166833337,0.630632237404699
"772","Browning","Panthera tigris",7,1.78235134179192,0.655830524140638,3.1043895689615,0.634407940333905
"781","Browning","Rhinoceros unicornis",7.8,2.5243467517347,0.928853708292136,4.39675138160383,0.640135862864364
"790","Browning","Semnopithecus schistaceus",7.3,1.78494170433551,0.65678366889097,3.10890130257518,0.612560160389386
"791","Browning","Macaca mulatta",7.3,1.76933685843091,0.651041740221364,3.08172174503475,0.62186624062731
"828","Browning","Hystrix indica",7.55,1.85358614377896,0.682041942971925,3.22846195079239,0.620337304230428
"832","Browning","Macaca mulatta",7.55,1.84238505470801,0.677920412079503,3.20895258512608,0.64090067710188
"835","Browning","Rusa unicolor",7.55,1.9567616267138,0.720006192480437,3.4081666394726,0.660576809112525
"858","Browning","Canis aureus",7.4,1.80684917144756,0.664844697769961,3.14705837676721,0.625353382486181
"878","Browning","Sus scrofa",6.5,1.61690581734491,0.594953511583888,2.81622676498352,0.603328068402845
"893","Browning","Rusa unicolor",4.5,1.19449798159631,0.439525148037115,2.08050286566119,0.623519918267852
"897","Browning","Panthera tigris",7.25,1.8559368492828,0.682906903985245,3.23255626456472,0.580129254463496
"947","Browning","Hystrix indica",7.16,1.7402184377875,0.640327382942333,3.03100507700724,0.615104827022866
"976","Browning","Semnopithecus schistaceus",7.16,1.74495770766006,0.642071235443067,3.03925964478628,0.595763500529943
"997","Browning","Canis aureus",7.08,1.71566486707983,0.631292698944205,2.98823918287719,0.61861882298737
"998","Browning","Panthera tigris",7.08,1.80557560396842,0.664376078363792,3.14484015553052,0.643952409038808
"1000","Browning","Axis porcinus",7.75,1.93480021956382,0.711925315930274,3.36991561585143,0.627510313345755
"1001","Browning","Semnopithecus schistaceus",7.75,1.91977271909754,0.706395826162327,3.34374164296447,0.612650144163938
"1051","Browning","Elephas maximus",7.4,2.77657184475505,1.02166196168097,4.8360614825043,0.609917243731659
"1069","Browning","Elephas maximus",7.1,2.64499626280086,0.97324766711749,4.60689125407,0.588830512298385
"1078","Browning","Axis porcinus",7.55,1.87318307968717,0.689252793294687,3.26259468432847,0.633651630937588
"1178","Hiperfire1","Sus scrofa",7.3,1.29122073046248,0.76362129020875,2.61630611890212,0.620575659706808
"1199","Browning","Sus scrofa",8.4,2.19895220970275,0.809122167125414,3.8299992500822,0.619524712612773
"1215","Browning","Macaca mulatta",7.16,1.72970242169082,0.63645793016563,3.01268892916809,0.634040404301914
"1252","Browning","Muntiacus muntjak",7.75,1.91831642618126,0.705859971460624,3.3412051618383,0.599589813481224
"1253","Browning","Macaca mulatta",7.75,1.90298911357104,0.700220163400827,3.31450899466201,0.616009922411353
"1269","Hiperfire1","Axis axis",7.7,1.36265313726367,0.805866047714079,2.76104437983054,0.641776969285171
"1270","Hiperfire1","Panthera tigris",7.7,1.40049361428945,0.828244710948668,2.83771777055999,0.603377846431732
"1280","Hiperfire1","Axis axis",7.4,1.29808002712577,0.767677842930038,2.63020461000293,0.596510541949682
"1281","Hiperfire1","Rusa unicolor",7.4,1.33994865094,0.792438731430361,2.71503993992824,0.625012008636335
"1319","Hiperfire1","Axis axis",7.45,1.30862569410021,0.773914496068542,2.65157252362315,0.604248206766733
"1320","Hiperfire1","Panthera tigris",7.45,1.34496584491246,0.795405874107128,2.72520591308852,0.604730237048409
"1322","Hiperfire1","Rusa unicolor",7.45,1.35083446070549,0.798876543263752,2.73709706000596,0.610415801286495
"1333","Hiperfire1","Sus scrofa",6.5,1.13442785757577,0.670894792666847,2.29860818929499,0.621545278850803
"1334","Hiperfire1","Axis axis",6.5,1.12214740509516,0.663632196314144,2.27372520669573,0.599056648045478
"1340","Hiperfire1","Hystrix indica",6.5,1.09726480388876,0.648916754106075,2.22330741192629,0.597875729690478
"1360","Browning","Axis axis",7,1.73419330357397,0.638110386306136,3.0205108700765,0.603768064475433
