camera_type	scientificName	cameraheight	major_axis_mod	minor_axis	profile	profile_se	contact_species	sum_effortday_all	species_traprate	effort_cameraheight	effort_cameraheight_cameratype	contact_species_cameraheight	contact_species_camereaheight_cameratype	hmean_speed	hmean_speed_se	groupsize_speed	activity_level	al_se	groupsize_al	profile_km	profile_se_km	hspeed_kmd	hspeed_se_kmd	group_size	group_size_se
Browning	Sus scrofa	7.7	1.963451303	0.722467713	2.831287012	0.502134904	630	32144	0.019599303	2048	1247	20	14	0.173376753	0.022623663	171	0.48009288	0.01292758	5447	0.002831287	5.02E-04	14.97975146	1.954684445	1.67	0.07
Browning	Rusa unicolor	7.7	2.004840603	0.737697239	2.890970178	0.51714434	587	32144	0.018261573	2048	1247	23	13	0.176947887	0.021980286	158	0.410938726	0.005960006	7608	0.00289097	5.17E-04	15.28829748	1.899096753	1.21	0.03
Browning	Axis porcinus	7	1.713667247	0.630557658	2.471099646	0.515604565	246	32144	0.007653061	598	598	2	2	0.092323681	0.010836314	193	0.5685436	0.01427842	2643	0.0024711	5.16E-04	7.976766064	0.936257514	1.11	0.03
Browning	Elephas maximus	7	2.602538194	0.957624879	3.75284713	0.502877276	233	32144	0.007248631	598	598	1	1	0.309954549	0.039236546	135	0.330787652	0.004914778	6492	0.003752847	5.03E-04	26.78007308	3.390037568	1.49	0.11
Browning	Semnopithecus schistaceus	7.1	1.728097074	0.63586723	2.491907385	0.515818645	1144	32144	0.035589846	4077	1829	194	127	0.151422949	0.03034331	127	0.219931391	0.003305612	13533	0.002491907	5.16E-04	13.0829428	2.621661977	1.66	0.06
Browning	Axis axis	7.8	1.973881661	0.726305647	2.846327537	0.519669227	23308	32144	0.725111996	1731	1279	884	676	0.085787425	0.008157255	312	0.406569211	0.002412088	273000	0.002846328	5.20E-04	7.412033545	0.704786827	2.14	0.02
Browning	Rusa unicolor	7.8	2.037547774	0.749732106	2.938133754	0.535477832	587	32144	0.018261573	1731	1279	26	18	0.176947887	0.021980286	158	0.410938726	0.005960006	7608	0.002938134	5.35E-04	15.28829748	1.899096753	1.21	0.03
Browning	Elephas maximus	7.8	2.962243254	1.089981251	4.271540037	0.524064681	233	32144	0.007248631	1731	1279	14	6	0.309954549	0.039236546	135	0.330787652	0.004914778	6492	0.00427154	5.24E-04	26.78007308	3.390037568	1.49	0.11
Browning	Elephas maximus	7.7	2.914692666	1.07248463	4.202972326	0.548059088	233	32144	0.007248631	2048	1247	26	16	0.309954549	0.039236546	135	0.330787652	0.004914778	6492	0.004202972	5.48E-04	26.78007308	3.390037568	1.49	0.11
Browning	Semnopithecus schistaceus	7.7	1.904302074	0.700703278	2.745994118	0.512541487	1144	32144	0.035589846	2048	1247	115	102	0.151422949	0.03034331	127	0.219931391	0.003305612	13533	0.002745994	5.13E-04	13.0829428	2.621661977	1.66	0.06
Browning	Axis axis	7.7	1.942196474	0.714646827	2.800637654	0.524738004	23308	32144	0.725111996	2048	1247	1099	742	0.085787425	0.008157255	312	0.406569211	0.002412088	273000	0.002800638	5.25E-04	7.412033545	0.704786827	2.14	0.02
Browning	Panthera tigris	7.7	1.996130699	0.734492359	2.878410538	0.533626393	436	32144	0.013563962	2048	1247	118	48	0.391365283	0.08185127	188	0.6335	0.02745258	2926	0.002878411	5.34E-04	33.81396049	7.071949768	1.03	0.01
