model	scientificName	height	x_meters	y_meters
Browning	Rusa unicolor	7	-3.826899542	-0.650120911
Browning	Muntiacus muntjak	7	0.841478867	-0.364945726
Browning	Axis axis	7.4	1.651060271	-1.498358427
Browning	Axis axis	7.4	2.022856829	0.124705008
Browning	Axis axis	7.4	-0.217523006	0.248203507
Browning	Axis axis	7.4	-0.602714795	-1.358639689
Browning	Semnopithecus schistaceus	7.2	-0.067075046	1.422898614
Browning	Semnopithecus schistaceus	7.2	-0.614747479	-0.051093569
Browning	Semnopithecus schistaceus	7.2	-3.262696912	-1.334025707
Browning	Macaca mulatta	7.2	-2.846642874	-0.662543294
Browning	Axis axis	7.2	-0.63733118	-0.193771159
Browning	Macaca mulatta	7.2	-0.44865209	-0.159025432
Browning	Macaca mulatta	7.2	-2.662533307	-0.797771297
Browning	Semnopithecus schistaceus	7.2	3.674162403	-0.685896973
Browning	Semnopithecus schistaceus	7.2	2.657893988	-0.769794865
Browning	Semnopithecus schistaceus	7.2	-2.11165688	-0.184003586
Browning	Semnopithecus schistaceus	7.2	2.253458221	-0.487146886
Browning	Semnopithecus schistaceus	7.2	2.015480578	-1.046705195
Browning	Muntiacus muntjak	8.1	0.091428325	0.520338194
Browning	Muntiacus muntjak	8.1	0.105848473	0.287773566
Browning	Sus scrofa	8.1	-0.482622103	1.067948802
Browning	Macaca mulatta	8.1	-1.063168064	-0.379712484
Browning	Axis axis	8.1	-1.063168064	-0.379712484
Browning	Muntiacus muntjak	8.1	1.997211292	-0.747056023
Browning	Macaca mulatta	7.25	0.739405928	0.023498265
Browning	Muntiacus muntjak	7.25	-0.638550788	0.904583897
Browning	Sus scrofa	7.25	-2.394817496	0.137360972
Browning	Muntiacus muntjak	7.25	0.530497546	0.34955999
Browning	Axis porcinus	7.7	-0.303019048	1.182185887
Browning	Axis porcinus	7.7	3.307116928	-0.171332661
Browning	Macaca mulatta	7.7	2.521886455	-0.190941505
Browning	Axis porcinus	7.7	2.851851787	-1.502922084
Browning	Sus scrofa	7.7	3.541528448	0.129788969
Browning	Axis porcinus	7.7	1.744766352	0.272746416
Browning	Axis porcinus	7.7	-2.153558409	-0.689693012
Browning	Axis porcinus	7.7	-2.195146954	-0.702032381
Browning	Axis porcinus	7.7	2.278762827	0.112254031
Browning	Macaca mulatta	7.7	-3.016380256	0.012202777
Browning	Rusa unicolor	7.7	0.716354618	0.982853251
Browning	Axis porcinus	7.7	1.655538872	-0.795665512
Browning	Axis porcinus	7	1.814696738	0.526547093
Browning	Elephas maximus	7	-3.177541277	0.125716943
Browning	Axis porcinus	7	0.344911426	0.208085588
Browning	Semnopithecus schistaceus	7.1	2.241071582	1.354998844
Browning	Axis axis	7.1	-0.102784245	0.314860072
Browning	Macaca mulatta	7.1	-0.954649267	-0.865817945
Browning	Axis axis	7.1	-0.954649267	-0.865817945
Browning	Macaca mulatta	7.1	0.937603242	-0.478792364
